                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5865,                   5.29,                 4.1003,                  9e-05,                  0.005,                  5e-05,                  2e-05,                 2.7963,                 4.8004,                  3.776,              0.0001105,              0.0001105,              0.0001105
                      2,                 3.7056,                 4.7019,                  3.475,                0.00931,                 0.1255,                 0.0088,                0.00349,                 2.4798,                  3.992,                 2.6886,             0.00022003,             0.00022003,             0.00022003
                      3,                 2.6304,                 3.5786,                 2.3882,                0.60451,                0.09476,                0.05964,                0.03207,                 2.0234,                 3.1114,                 1.9996,             0.00032811,             0.00032811,             0.00032811
                      4,                 2.0887,                 2.9351,                 1.9235,                0.57956,                0.29101,                0.28765,                0.16973,                 1.6125,                 2.2866,                 1.6034,             0.00032641,             0.00032641,             0.00032641
                      5,                 1.8721,                 2.5692,                 1.7348,                0.58967,                0.37354,                  0.413,                0.26379,                 1.3886,                 1.7947,                 1.4426,             0.00032421,             0.00032421,             0.00032421
                      6,                 1.7343,                 2.2455,                 1.6058,                0.65097,                0.43777,                0.50831,                0.32122,                 1.3794,                 1.5628,                 1.4089,             0.00032201,             0.00032201,             0.00032201
                      7,                 1.6689,                 2.0798,                 1.5633,                 0.6853,                0.48341,                0.56253,                0.36172,                 1.3212,                 1.4148,                 1.3626,             0.00031981,             0.00031981,             0.00031981
                      8,                 1.6087,                 1.9267,                 1.5006,                0.72069,                0.56672,                0.63192,                0.41507,                 1.2968,                 1.2582,                 1.3562,             0.00031762,             0.00031762,             0.00031762
                      9,                  1.547,                 1.8001,                  1.454,                0.66781,                0.58094,                  0.664,                0.43708,                 1.2611,                 1.1424,                 1.2852,             0.00031542,             0.00031542,             0.00031542
                     10,                 1.5014,                 1.7255,                 1.4282,                0.76722,                0.64802,                0.72209,                0.48722,                 1.2012,                 1.0753,                 1.2619,             0.00031322,             0.00031322,             0.00031322
                     11,                 1.4709,                  1.659,                 1.3986,                0.68601,                0.66998,                 0.7248,                0.46695,                 1.2563,                 1.0889,                  1.309,             0.00031102,             0.00031102,             0.00031102
                     12,                 1.4552,                 1.6273,                 1.3809,                0.76694,                0.67313,                0.75381,                0.51118,                 1.1933,                0.99247,                 1.2372,             0.00030882,             0.00030882,             0.00030882
                     13,                 1.4336,                  1.566,                 1.3593,                0.77297,                0.65636,                0.75708,                0.51768,                  1.153,                0.96958,                 1.2021,             0.00030663,             0.00030663,             0.00030663
                     14,                 1.3974,                 1.5124,                 1.3374,                0.75494,                0.75414,                0.78678,                0.53717,                 1.1336,                0.92454,                  1.205,             0.00030443,             0.00030443,             0.00030443
                     15,                 1.3899,                 1.4941,                 1.3265,                0.77568,                0.72357,                0.79264,                0.54448,                 1.1293,                0.90649,                 1.1941,             0.00030223,             0.00030223,             0.00030223
                     16,                 1.3621,                 1.4427,                 1.3004,                0.76326,                0.76305,                0.81206,                 0.5556,                 1.1474,                0.87071,                 1.1993,             0.00030003,             0.00030003,             0.00030003
                     17,                 1.3558,                 1.4269,                 1.2922,                0.75911,                0.75727,                0.80557,                0.55926,                 1.1125,                0.86659,                 1.1731,             0.00029784,             0.00029784,             0.00029784
                     18,                 1.3501,                 1.4114,                   1.29,                0.76492,                 0.7916,                0.81796,                0.57198,                  1.114,                0.83868,                 1.1828,             0.00029564,             0.00029564,             0.00029564
                     19,                 1.3177,                 1.3582,                 1.2672,                0.75772,                0.77903,                0.81702,                0.56691,                 1.1281,                0.83438,                 1.1753,             0.00029344,             0.00029344,             0.00029344
